committer.date,committer.date_first,committer.date_last,time,freq
1,2022-02-16,2022-02-16,1,1.0
1,2017-11-02,2017-11-02,1,1.0
1,2021-11-08,2021-11-08,1,1.0
1,2022-12-13,2022-12-13,1,1.0
1,2020-03-17,2020-03-17,1,1.0
1,2018-02-04,2018-02-04,1,1.0
1,2024-04-12,2024-04-12,1,1.0
1,2024-04-23,2024-04-23,1,1.0
1,2024-02-22,2024-02-22,1,1.0
1,2023-06-12,2023-06-12,1,1.0
1,2019-10-18,2019-10-18,1,1.0
1,2023-11-30,2023-11-30,1,1.0
1,2018-09-28,2018-09-28,1,1.0
1,2023-09-01,2023-09-01,1,1.0
1,2022-01-28,2022-01-28,1,1.0
1,2024-05-06,2024-05-06,1,1.0
1,2017-09-10,2017-09-10,1,1.0
1,2023-08-30,2023-08-30,1,1.0
1,2021-01-06,2021-01-06,1,1.0
1,2022-07-24,2022-07-24,1,1.0
1,2023-12-01,2023-12-01,1,1.0
1,2018-08-25,2018-08-25,1,1.0
1,2016-10-29,2016-10-29,1,1.0
1,2019-09-11,2019-09-11,1,1.0
1,2024-01-29,2024-01-29,1,1.0
1,2020-01-30,2020-01-30,1,1.0
1,2024-04-05,2024-04-05,1,1.0
1,2023-11-05,2023-11-05,1,1.0
1,2023-10-12,2023-10-12,1,1.0
1,2020-05-06,2020-05-06,1,1.0
1,2019-01-20,2019-01-20,1,1.0
1,2017-11-05,2017-11-05,1,1.0
1,2018-01-30,2018-01-30,1,1.0
1,2023-03-20,2023-03-20,1,1.0
1,2022-09-22,2022-09-22,1,1.0
1,2022-11-29,2022-11-29,1,1.0
1,2018-10-28,2018-10-28,1,1.0
1,2023-03-28,2023-03-28,1,1.0
1,2024-05-14,2024-05-14,1,1.0
1,2021-04-07,2021-04-07,1,1.0
1,2021-01-22,2021-01-22,1,1.0
1,2020-12-22,2020-12-22,1,1.0
1,2017-11-23,2017-11-23,1,1.0
1,2020-03-01,2020-03-01,1,1.0
1,2022-10-12,2022-10-12,1,1.0
1,2023-11-16,2023-11-16,1,1.0
1,2021-02-18,2021-02-18,1,1.0
1,2019-04-09,2019-04-09,1,1.0
1,2022-07-22,2022-07-22,1,1.0
